frame,x,y,confidence
52536,868,50,0.719043
52537,868,50,0.723494
52538,868,50,0.725062
52539,868,50,0.708358
52540,868,50,0.706405
52541,868,50,0.698231
52542,868,50,0.656474
52543,868,50,0.673154
52544,868,50,0.704231
52545,868,50,0.707794
52546,868,50,0.710930
52547,868,50,0.727498
52548,868,50,0.724563
52549,868,50,0.717658
52550,868,50,0.721352
52551,868,50,0.714773
52552,868,50,0.721186
52553,868,51,0.739672
52554,868,51,0.728219
52555,868,51,0.736041
52556,868,50,0.732730
52557,868,50,0.735593
52558,868,50,0.732272
52559,868,51,0.742916
52560,,,
52561,,,
52562,,,
52563,,,
52564,,,
52565,,,
52566,,,
52567,,,
52568,,,
52569,968,88,0.405691
52570,968,88,0.358254
52571,968,88,0.380783
52572,,,
52573,962,112,0.419425
52574,,,
52575,962,114,0.351408
52576,,,
52577,,,
52578,,,
52579,,,
52580,,,
52581,,,
52582,,,
52583,,,
52584,,,
52585,,,
52586,,,
52587,,,
52588,,,
52589,,,
52590,,,
52591,,,
52592,,,
52593,,,
52594,262,386,0.992261
52595,263,386,0.990221
52596,263,386,0.988475
52597,263,386,0.985529
52598,,,
52599,,,
52600,,,
52601,,,
52602,,,
52603,,,
52604,,,
52605,,,
52606,,,
52607,,,
52608,264,385,0.977592
52609,264,384,0.982012
52610,,,
52611,264,384,0.978111
52612,264,384,0.977950
52613,264,384,0.975884
52614,264,384,0.972930
52615,264,384,0.963953
52616,264,384,0.964311
52617,264,384,0.970188
52618,,,
52619,,,
52620,,,
52621,264,384,0.966093
52622,264,383,0.970496
52623,264,384,0.973723
52624,264,384,0.968362
52625,264,384,0.967741
52626,264,384,0.970696
52627,264,384,0.974021
52628,264,384,0.972984
52629,264,384,0.967660
52630,265,384,0.971542
52631,264,384,0.966947
52632,264,383,0.960085
52633,264,384,0.957457
52634,264,383,0.965532
52635,263,383,0.968841
52636,263,382,0.972190
52637,264,382,0.974865
52638,264,382,0.974510
52639,264,382,0.974227
52640,264,382,0.973901
52641,263,382,0.977285
52642,263,382,0.975289
52643,264,382,0.969463
52644,264,382,0.970841
52645,264,382,0.974082
52646,264,382,0.975610
52647,264,382,0.973663
52648,264,382,0.970672
52649,264,382,0.971283
52650,264,382,0.971641
52651,,,
52652,,,
52653,,,
52654,,,
52655,,,
