epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2747,2.14576,94.0996,0.94011,0.00047,0.13953,0.00028,0.00017,1.93634,108.274,0.92128,0.00042,0.00042,0.00042
2,104.717,2.55202,37.38,0.96176,0.00813,0.02326,0.00263,0.00126,2.36854,110.782,0.93749,0.000851486,0.000851486,0.000851486
3,153.089,2.69277,27.6929,0.94444,0.00121,0.13953,0.00058,0.00024,2.48755,277.753,0.97197,0.00127426,0.00127426,0.00127426
4,198.804,2.74476,23.2555,0.96767,0.01858,0.4186,0.01152,0.00438,2.41858,317.266,0.97361,0.00168832,0.00168832,0.00168832
5,239.66,2.41937,15.3368,0.95671,0.01858,0.4186,0.01152,0.00438,2.41858,317.266,0.97361,0.0019208,0.0019208,0.0019208
6,280.507,2.2839,21.7433,0.86352,8e-05,0.02326,4e-05,0,2.47672,303.316,0.98077,0.001901,0.001901,0.001901
7,324.143,2.47503,22.432,0.97562,0,0,0,0,2.35464,6402.83,1.01631,0.0018812,0.0018812,0.0018812
8,367.254,2.34474,15.5257,0.9878,0,0,0,0,2.29292,7.30677,0.97722,0.0018614,0.0018614,0.0018614
9,403.117,2.52289,11.4577,0.99255,0,0,0,0,2.29292,7.30677,0.97722,0.0018416,0.0018416,0.0018416
10,450.178,2.59744,9.47031,0.97322,0,0,0,0,2.10939,6.7362,0.94382,0.0018218,0.0018218,0.0018218
11,497.391,2.20226,7.36317,0.86939,0,0,0,0,2.37656,5.59926,1.01458,0.001802,0.001802,0.001802
12,541.095,2.52069,5.82138,1.00171,0,0,0,0,2.37656,5.59926,1.01458,0.0017822,0.0017822,0.0017822
13,593.684,2.4888,5.93419,0.95077,0.00202,0.60465,0.00168,0.00077,2.41993,5.44908,1.02959,0.0017624,0.0017624,0.0017624
14,636.082,2.57417,4.96832,0.96679,0.00518,0.69767,0.25461,0.108,2.21904,4.07891,1.03252,0.0017426,0.0017426,0.0017426
15,682.522,2.70449,3.79506,1.05618,0.00518,0.69767,0.25461,0.108,2.21904,4.07891,1.03252,0.0017228,0.0017228,0.0017228
16,763.266,2.44154,4.14266,0.96378,0.70506,0.4186,0.4826,0.22701,1.89391,2.65714,0.95275,0.001703,0.001703,0.001703
17,818.626,2.46147,4.07639,0.92334,0.72336,0.48653,0.58,0.25668,2.19388,2.31449,0.93591,0.0016832,0.0016832,0.0016832
18,874.893,2.8,4.96105,1.01008,0.72336,0.48653,0.58,0.25668,2.19388,2.31449,0.93591,0.0016634,0.0016634,0.0016634
19,930.942,2.02793,3.96281,0.9232,0.91334,0.32558,0.64879,0.28136,2.05742,2.66282,0.92937,0.0016436,0.0016436,0.0016436
20,996.089,1.99805,3.28702,0.9016,0.84914,0.39281,0.60445,0.25183,2.00832,2.52878,0.92067,0.0016238,0.0016238,0.0016238
21,1053.76,2.20816,3.43478,0.96652,0.84914,0.39281,0.60445,0.25183,2.00832,2.52878,0.92067,0.001604,0.001604,0.001604
22,1108.79,2.02838,2.43786,0.88779,0.51368,0.2093,0.23797,0.12502,1.96495,2.95019,0.86627,0.0015842,0.0015842,0.0015842
23,1166.31,2.10555,2.23967,0.9446,0.79151,0.6182,0.64911,0.33693,1.81671,1.88169,0.90142,0.0015644,0.0015644,0.0015644
24,1227.26,2.12959,2.08106,0.92037,0.78125,0.66461,0.77979,0.43539,1.6574,1.58483,0.87201,0.0015446,0.0015446,0.0015446
25,1289.4,2.27452,2.62593,0.89514,0.78125,0.66461,0.77979,0.43539,1.6574,1.58483,0.87201,0.0015248,0.0015248,0.0015248
26,1344.7,1.96575,2.0206,0.88034,0.90821,0.69767,0.82246,0.39845,1.87426,1.47233,0.89237,0.001505,0.001505,0.001505
27,1389.12,2.27238,1.84294,0.9644,0.90087,0.6342,0.75194,0.28017,2.05832,1.76369,0.91141,0.0014852,0.0014852,0.0014852
28,1440.07,2.13888,1.76809,0.89499,0.90087,0.6342,0.75194,0.28017,2.05832,1.76369,0.91141,0.0014654,0.0014654,0.0014654
29,1506.42,2.08282,1.7868,0.87589,0.78885,0.69767,0.76445,0.3559,1.81965,1.87181,0.89246,0.0014456,0.0014456,0.0014456
30,1560.67,1.86233,1.50287,0.90884,0.8824,0.7907,0.87306,0.49648,1.65599,1.49171,0.89201,0.0014258,0.0014258,0.0014258
31,1615.39,2.20899,1.74913,0.96397,0.8824,0.7907,0.87306,0.49648,1.65599,1.49171,0.89201,0.001406,0.001406,0.001406
32,1670.21,1.99369,1.818,0.91289,0.91187,0.72193,0.8621,0.49044,1.57652,1.22454,0.89858,0.0013862,0.0013862,0.0013862
33,1715.67,1.83025,1.66573,0.87564,0.80381,0.76744,0.84616,0.45659,1.57771,1.21218,0.88262,0.0013664,0.0013664,0.0013664
34,1767.89,1.70333,1.55237,0.89822,0.80381,0.76744,0.84616,0.45659,1.57771,1.21218,0.88262,0.0013466,0.0013466,0.0013466
35,1822.82,1.93215,1.47581,0.83592,0.90848,0.86047,0.92918,0.5245,1.4974,1.03845,0.86837,0.0013268,0.0013268,0.0013268
36,1876.58,1.77036,1.34572,0.8559,0.87726,0.93023,0.93823,0.56874,1.34566,0.95501,0.86122,0.001307,0.001307,0.001307
37,1941.68,1.56765,1.22417,0.79632,0.87726,0.93023,0.93823,0.56874,1.34566,0.95501,0.86122,0.0012872,0.0012872,0.0012872
38,1996.33,1.7217,1.42634,0.85873,0.90621,0.89897,0.93528,0.55465,1.40373,1.02245,0.86313,0.0012674,0.0012674,0.0012674
39,2049.66,1.82853,1.36219,0.8985,0.9504,0.90698,0.94719,0.53968,1.49361,0.86717,0.86393,0.0012476,0.0012476,0.0012476
40,2111.64,1.75774,1.25373,0.8824,0.9634,0.81395,0.91763,0.48029,1.62827,0.99413,0.87221,0.0012278,0.0012278,0.0012278
41,2181.45,1.69611,1.43929,0.8652,0.9634,0.81395,0.91763,0.48029,1.62827,0.99413,0.87221,0.001208,0.001208,0.001208
42,2230.75,1.71905,1.18936,0.84001,0.9729,0.83498,0.91861,0.47517,1.68665,0.99848,0.87412,0.0011882,0.0011882,0.0011882
43,2280.32,1.74875,1.19164,0.88001,0.97485,0.90142,0.95394,0.49781,1.67747,0.9036,0.86569,0.0011684,0.0011684,0.0011684
44,2331.33,1.83105,1.1287,0.85032,0.97485,0.90142,0.95394,0.49781,1.67747,0.9036,0.86569,0.0011486,0.0011486,0.0011486
45,2371.93,1.50708,0.87622,0.79936,0.933,0.97156,0.97395,0.53251,1.50462,0.79454,0.84537,0.0011288,0.0011288,0.0011288
46,2423.65,1.70399,0.95054,0.80531,0.96607,0.97674,0.9797,0.54126,1.43207,0.77324,0.84088,0.001109,0.001109,0.001109
47,2483.87,1.54699,0.8461,0.86307,0.96607,0.97674,0.9797,0.54126,1.43207,0.77324,0.84088,0.0010892,0.0010892,0.0010892
