epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,607.056,2.31139,23.2605,0.83193,0.8664,0.65756,0.71875,0.28171,2.13229,2.72196,0.86282,0.000664011,0.000664011,0.000664011
2,1195.25,2.60279,2.51718,0.83663,0.84428,0.68697,0.76323,0.35599,1.9632,1.6363,0.84687,0.0013175,0.0013175,0.0013175
3,1727.74,2.4197,2.00042,0.8422,0.84592,0.71513,0.78704,0.27988,2.30419,1.46202,0.86351,0.0019578,0.0019578,0.0019578
4,2327.48,2.3471,1.72652,0.80089,0.86064,0.66387,0.7849,0.35452,2.00106,1.2874,0.84788,0.0019406,0.0019406,0.0019406
5,2929.75,2.24178,1.42269,0.81401,0.85596,0.72411,0.798,0.36778,1.92691,1.34683,0.83885,0.0019208,0.0019208,0.0019208
6,3519.17,2.26594,1.45789,0.81147,0.91587,0.78992,0.85448,0.43715,1.81476,1.17566,0.82922,0.001901,0.001901,0.001901
7,3928.03,2.22599,1.39581,0.80932,0.75841,0.69538,0.76537,0.29376,2.20735,1.28834,0.86562,0.0018812,0.0018812,0.0018812
8,4479.32,2.31046,1.40963,0.81707,0.91252,0.79412,0.88754,0.39953,2.03144,1.00742,0.85308,0.0018614,0.0018614,0.0018614
9,4939.29,2.2195,1.31542,0.80981,0.87397,0.76681,0.86271,0.37784,2.03426,1.04064,0.84902,0.0018416,0.0018416,0.0018416
10,5511.43,2.04577,1.11591,0.79655,0.94646,0.80882,0.88942,0.43226,1.8571,1.06211,0.82791,0.0018218,0.0018218,0.0018218
11,5976.62,1.98183,1.06557,0.80675,0.92716,0.88866,0.94057,0.48769,1.71153,0.91002,0.81883,0.001802,0.001802,0.001802
12,6504.9,1.89233,1.10231,0.76609,0.96199,0.78782,0.91606,0.46573,1.73709,0.98463,0.81863,0.0017822,0.0017822,0.0017822
13,6881.85,2.01471,1.16313,0.7923,0.96472,0.80419,0.91679,0.44206,1.7545,0.9522,0.82684,0.0017624,0.0017624,0.0017624
14,7288.44,1.96509,1.00851,0.77796,0.94323,0.86134,0.94097,0.44229,1.80513,0.88696,0.81881,0.0017426,0.0017426,0.0017426
15,7732.76,1.90001,0.96763,0.76459,0.95399,0.91485,0.9651,0.54769,1.54467,0.74222,0.8103,0.0017228,0.0017228,0.0017228
16,8206.25,1.8702,1.05804,0.78585,0.94025,0.89254,0.95076,0.50727,1.63538,0.78826,0.81308,0.001703,0.001703,0.001703
17,8607.57,1.84841,0.99531,0.76788,0.96148,0.8914,0.95655,0.51369,1.6531,0.77951,0.8109,0.0016832,0.0016832,0.0016832
18,9039.08,1.96565,0.97561,0.79309,0.96863,0.88445,0.95524,0.54198,1.58762,0.80896,0.81288,0.0016634,0.0016634,0.0016634
