epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.115,2.44254,32.3216,0.85872,0.67904,0.59341,0.54271,0.22354,2.23254,4.52166,0.87465,0.00066335,0.00066335,0.00066335
2,791.419,2.60549,3.11322,0.8596,0.50798,0.50549,0.51287,0.19047,2.35803,2.30204,0.87409,0.00131685,0.00131685,0.00131685
3,1122.56,2.68179,2.46604,0.87448,0.83891,0.65934,0.70405,0.25667,2.18466,1.75889,0.8422,0.00195715,0.00195715,0.00195715
4,1477.77,2.5321,2.05154,0.85782,0.80918,0.53846,0.60582,0.20824,2.28814,2.18289,0.88233,0.0019406,0.0019406,0.0019406
5,1761.5,2.45144,2.33856,0.81726,0.76412,0.64082,0.70187,0.29642,2.06986,2.22575,0.84135,0.0019208,0.0019208,0.0019208
6,2112.78,2.21911,1.56474,0.83124,0.84222,0.7033,0.75517,0.28375,2.19836,1.72251,0.85393,0.001901,0.001901,0.001901
7,2373.08,2.30011,1.33993,0.82869,0.84756,0.78022,0.8538,0.37586,1.96459,1.24,0.84057,0.0018812,0.0018812,0.0018812
8,2714.44,2.25304,1.34257,0.8172,0.94793,0.80025,0.88324,0.45768,1.80187,1.18021,0.82381,0.0018614,0.0018614,0.0018614
9,2978.59,2.29278,1.39446,0.81385,0.79204,0.79523,0.85135,0.35358,2.03019,1.14691,0.84505,0.0018416,0.0018416,0.0018416
10,3301.28,2.06105,1.24002,0.78402,0.9004,0.65934,0.7598,0.3811,1.82273,1.73984,0.82575,0.0018218,0.0018218,0.0018218
11,3580.57,2.07711,1.13901,0.81347,0.98628,0.79016,0.88688,0.41549,1.91375,1.14392,0.83895,0.001802,0.001802,0.001802
12,3888.07,2.02505,1.15132,0.80349,0.91684,0.72694,0.85686,0.3775,1.98546,1.15231,0.83656,0.0017822,0.0017822,0.0017822
13,4157.83,2.09953,1.13782,0.8073,0.88749,0.76923,0.8536,0.42582,1.8283,1.20198,0.82001,0.0017624,0.0017624,0.0017624
14,4467.85,2.07615,1.15176,0.80071,0.91214,0.72527,0.90336,0.4669,1.71954,1.21925,0.81963,0.0017426,0.0017426,0.0017426
15,4742.48,1.91779,1.05113,0.77711,0.88101,0.73227,0.85781,0.46849,1.61129,1.17961,0.80758,0.0017228,0.0017228,0.0017228
16,5057.18,1.92093,1.0754,0.79236,0.90783,0.64945,0.77872,0.39913,1.73003,1.49768,0.81531,0.001703,0.001703,0.001703
17,5338.45,2.02063,1.036,0.79996,0.97511,0.73626,0.85445,0.47327,1.60173,1.22062,0.81742,0.0016832,0.0016832,0.0016832
18,5638.42,2.06096,0.99541,0.81806,0.91807,0.78022,0.8675,0.42862,1.85694,1.27668,0.82267,0.0016634,0.0016634,0.0016634
19,5924.43,1.96624,0.98001,0.77747,0.93746,0.82357,0.8651,0.46653,1.74406,1.05912,0.82034,0.0016436,0.0016436,0.0016436
20,6177.44,1.92364,0.91938,0.76435,0.98611,0.77989,0.8984,0.48244,1.68535,1.04766,0.81207,0.0016238,0.0016238,0.0016238
21,6443.61,1.81907,0.90793,0.77111,0.9622,0.71429,0.7827,0.43827,1.63532,1.34179,0.81299,0.001604,0.001604,0.001604
22,6695.36,1.92827,0.95375,0.80194,0.95721,0.82418,0.90163,0.40248,1.96426,1.03341,0.8207,0.0015842,0.0015842,0.0015842
