epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.783,2.3772,22.7509,0.81519,0.2924,0.16484,0.1715,0.08026,1.96037,7.25483,0.78426,0.000663889,0.000663889,0.000663889
2,950.555,2.40691,3.15785,0.82338,0.7859,0.36304,0.53314,0.2039,2.22214,2.45262,0.81569,0.00131738,0.00131738,0.00131738
3,1435.01,2.40473,2.30964,0.80751,0.7424,0.60175,0.6699,0.29825,1.90899,1.46851,0.78188,0.00195768,0.00195768,0.00195768
4,1792.77,2.45765,1.85013,0.84243,0.77012,0.62585,0.6131,0.26242,2.03069,1.96907,0.78058,0.0019406,0.0019406,0.0019406
5,2087.37,2.36146,1.75964,0.81047,0.64574,0.68132,0.68631,0.30372,1.85874,1.48525,0.77397,0.0019208,0.0019208,0.0019208
6,2416.88,2.36774,1.83188,0.81925,0.76224,0.52845,0.63557,0.26156,2.00989,1.56824,0.80049,0.001901,0.001901,0.001901
7,2649.29,2.23598,1.61021,0.78025,0.7369,0.49248,0.59996,0.25096,1.99357,1.89098,0.80497,0.0018812,0.0018812,0.0018812
8,2965.13,2.30504,1.72777,0.79656,0.78881,0.64835,0.70531,0.2914,1.8232,1.38992,0.78563,0.0018614,0.0018614,0.0018614
9,3309.57,2.1361,1.39357,0.7893,0.78577,0.60458,0.70006,0.31229,1.80281,1.48485,0.79381,0.0018416,0.0018416,0.0018416
10,3665.48,2.0513,1.40154,0.76958,0.82572,0.67033,0.73004,0.34255,1.82886,1.50308,0.78331,0.0018218,0.0018218,0.0018218
11,3968.86,2.12656,1.33907,0.79685,0.81322,0.64835,0.70802,0.32379,1.74533,1.51743,0.77522,0.001802,0.001802,0.001802
12,4292.88,2.10426,1.31937,0.79103,0.84673,0.72852,0.83757,0.39372,1.74386,1.10906,0.78079,0.0017822,0.0017822,0.0017822
13,4562.18,1.89552,1.1052,0.7479,0.83834,0.74087,0.82577,0.42088,1.58042,1.13507,0.77886,0.0017624,0.0017624,0.0017624
14,4893.44,2.01897,1.09352,0.77078,0.84432,0.77478,0.80408,0.35578,1.78203,1.14299,0.76169,0.0017426,0.0017426,0.0017426
15,5208.29,1.97856,1.0449,0.77219,0.87066,0.75824,0.80965,0.39968,1.60645,1.20443,0.77018,0.0017228,0.0017228,0.0017228
16,5575.92,1.97134,1.11852,0.76694,0.86665,0.73626,0.79015,0.33795,1.77851,1.23549,0.76985,0.001703,0.001703,0.001703
17,5882.28,1.8896,1.1081,0.77287,0.79567,0.7033,0.7463,0.39696,1.53696,1.39203,0.75795,0.0016832,0.0016832,0.0016832
18,6246.42,1.92225,1.11001,0.76166,0.87974,0.80389,0.86329,0.41598,1.72337,1.0726,0.76828,0.0016634,0.0016634,0.0016634
19,6554.02,2.00591,1.17033,0.77399,0.90326,0.61562,0.74384,0.3637,1.72798,1.57512,0.77293,0.0016436,0.0016436,0.0016436
20,6935.79,1.89187,1.08034,0.76997,0.83523,0.77984,0.80719,0.41898,1.46398,1.14046,0.7661,0.0016238,0.0016238,0.0016238
21,7242.06,1.86464,1.03342,0.75313,0.892,0.72611,0.82532,0.39067,1.68722,1.34952,0.77119,0.001604,0.001604,0.001604
22,7553.85,1.90947,0.98836,0.76493,0.88361,0.66746,0.79757,0.40357,1.66401,1.10214,0.75335,0.0015842,0.0015842,0.0015842
23,7885.3,1.8127,0.92249,0.7783,0.8728,0.75404,0.81839,0.43123,1.49419,1.19308,0.76037,0.0015644,0.0015644,0.0015644
24,8180.22,1.8796,0.92967,0.76798,0.88023,0.75824,0.80832,0.43771,1.60915,1.21223,0.76536,0.0015446,0.0015446,0.0015446
25,8478.02,1.8442,0.87922,0.76172,0.88891,0.79139,0.85683,0.45206,1.52569,1.11221,0.75882,0.0015248,0.0015248,0.0015248
26,8847.2,1.79782,0.82626,0.77692,0.87938,0.80119,0.83693,0.45766,1.50854,1.15937,0.7601,0.001505,0.001505,0.001505
27,9150.48,1.81556,0.92393,0.7504,0.8767,0.69231,0.82375,0.44099,1.65055,1.30804,0.76707,0.0014852,0.0014852,0.0014852
28,9525.84,1.80993,0.89785,0.73699,0.88966,0.72527,0.82885,0.46965,1.51241,1.19152,0.76495,0.0014654,0.0014654,0.0014654
29,9833.07,1.72627,0.87821,0.75496,0.82542,0.72742,0.79277,0.45919,1.43267,1.14995,0.76236,0.0014456,0.0014456,0.0014456
30,10139.3,1.75061,0.8376,0.75534,0.78046,0.64835,0.72735,0.4108,1.51183,1.49446,0.76024,0.0014258,0.0014258,0.0014258
31,10456,1.71251,0.89425,0.74386,0.87021,0.7368,0.783,0.37839,1.66041,1.25055,0.75961,0.001406,0.001406,0.001406
32,10838.2,1.80484,0.7842,0.75163,0.8586,0.6673,0.77288,0.43253,1.47886,1.45806,0.75559,0.0013862,0.0013862,0.0013862
33,11144.2,1.69051,0.75361,0.73041,0.90297,0.81811,0.84628,0.51279,1.45282,1.18604,0.75347,0.0013664,0.0013664,0.0013664
34,11494.4,1.6946,0.79573,0.7435,0.85012,0.68567,0.76831,0.47133,1.41956,1.47634,0.75151,0.0013466,0.0013466,0.0013466
35,11765.8,1.66441,0.78831,0.74267,0.84713,0.73076,0.77344,0.43002,1.42472,1.53277,0.75418,0.0013268,0.0013268,0.0013268
36,12006.9,1.67655,0.74911,0.73919,0.89345,0.69231,0.76594,0.40879,1.60062,1.47827,0.75819,0.001307,0.001307,0.001307
37,12300.1,1.71896,0.80723,0.73685,0.87921,0.71991,0.7968,0.46468,1.40926,1.52671,0.75658,0.0012872,0.0012872,0.0012872
38,12583,1.57555,0.75539,0.73023,0.86302,0.76162,0.80519,0.47646,1.48429,1.19667,0.75406,0.0012674,0.0012674,0.0012674
39,12880.3,1.58387,0.74366,0.73323,0.87418,0.76354,0.83032,0.50773,1.4288,1.24613,0.75812,0.0012476,0.0012476,0.0012476
40,13247.2,1.55745,0.73336,0.72713,0.88714,0.69102,0.81805,0.48791,1.47643,1.46124,0.76028,0.0012278,0.0012278,0.0012278
41,13551.5,1.56313,0.72009,0.74495,0.873,0.7033,0.77268,0.44588,1.45821,1.44989,0.75298,0.001208,0.001208,0.001208
42,13934.9,1.54785,0.71287,0.72467,0.83666,0.6192,0.73035,0.44372,1.44462,1.64504,0.75423,0.0011882,0.0011882,0.0011882
43,14272.2,1.6733,0.74336,0.75815,0.87366,0.73626,0.79334,0.48039,1.38506,1.19148,0.75862,0.0011684,0.0011684,0.0011684
44,14695.4,1.61327,0.68339,0.72363,0.75837,0.72428,0.79391,0.47863,1.45235,1.38344,0.7615,0.0011486,0.0011486,0.0011486
45,14998.8,1.57735,0.69179,0.73967,0.83887,0.75824,0.83752,0.47934,1.51876,1.37843,0.76148,0.0011288,0.0011288,0.0011288
46,15386.7,1.59409,0.68834,0.74779,0.88287,0.69231,0.79055,0.45815,1.51335,1.40115,0.75616,0.001109,0.001109,0.001109
47,15693.6,1.56829,0.68148,0.75352,0.86214,0.68723,0.80253,0.48942,1.38367,1.35232,0.75577,0.0010892,0.0010892,0.0010892
48,15984.3,1.60408,0.65791,0.73808,0.91505,0.71021,0.81714,0.4997,1.43929,1.55263,0.76105,0.0010694,0.0010694,0.0010694
49,16273.2,1.58701,0.67187,0.74308,0.90465,0.76923,0.82881,0.48968,1.44495,1.36601,0.75998,0.0010496,0.0010496,0.0010496
50,16659.4,1.58596,0.65159,0.74382,0.87253,0.7033,0.76489,0.46147,1.37468,1.55386,0.756,0.0010298,0.0010298,0.0010298
51,17134.8,1.57617,0.6753,0.72174,0.87879,0.72527,0.82526,0.4706,1.45917,1.50748,0.75674,0.00101,0.00101,0.00101
52,17619.9,1.59485,0.66986,0.74962,0.81039,0.79121,0.81227,0.49102,1.42303,1.30811,0.75956,0.0009902,0.0009902,0.0009902
53,18054,1.5328,0.62315,0.72189,0.87075,0.62637,0.78157,0.46712,1.49269,1.77499,0.7567,0.0009704,0.0009704,0.0009704
54,18595.1,1.49338,0.66556,0.72548,0.82429,0.72175,0.81923,0.48454,1.37218,1.35547,0.7537,0.0009506,0.0009506,0.0009506
55,19070.7,1.47511,0.61773,0.74294,0.84391,0.65358,0.75072,0.45146,1.4549,1.50625,0.75338,0.0009308,0.0009308,0.0009308
56,19610,1.51822,0.66456,0.75467,0.859,0.80335,0.85264,0.52731,1.40072,1.08602,0.7608,0.000911,0.000911,0.000911
57,20155.3,1.48863,0.64634,0.73351,0.89639,0.66551,0.81249,0.49372,1.45548,1.54531,0.75149,0.0008912,0.0008912,0.0008912
